rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1002/ird3.115,Natural Language Processing for Chest X‐Ray Reports in the Transformer Era: BERT‐Like Encoders for Comprehension and GPT‐Like Decoders for Generation,2025,iRadiology,https://doi.org/10.1002/ird3.115,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/pr13092993,A GAN-and-Transformer-Assisted Scheduling Approach for Hydrogen-Based Multi-Energy Microgrid,2025,Processes,https://doi.org/10.3390/pr13092993,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.3390/s21248445,Energy Efficient UAV Flight Path Model for Cluster Head Selection in Next-Generation Wireless Sensor Networks,2021,Sensors,https://doi.org/10.3390/s21248445,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.5194/egusphere-egu26-21700,Segmentation Model Benchmarking: A Strategic Prerequisite for Robust Geospatial Foundation Models,,,https://doi.org/10.5194/egusphere-egu26-21700,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1115/1.4070027,Sampling-Based Planning and Predictive Control for Energy Management of a Shipboard Integrated Power System With High Ramp Rate Load,2026,"Journal of Dynamic Systems, Measurement, and Control",https://doi.org/10.1115/1.4070027,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1038/s41598-026-37367-4,Energy-efficient intrusion detection with a protocol-aware transformer–spiking hybrid model,2026,Scientific Reports,https://doi.org/10.1038/s41598-026-37367-4,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1038/s41598-025-20886-x,A transformer guided multi modal learning framework for predictive and causal assessment of thermal runaway in high energy batteries,2025,Scientific Reports,https://doi.org/10.1038/s41598-025-20886-x,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.2139/ssrn.6637711,A time-segmented deep learning hybrid model with dual-stage feature selection for building energy consumption forecasting,,,https://doi.org/10.2139/ssrn.6637711,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.1101/2023.03.05.531080,MoveFormer: a Transformer-based model for step-selection animal movement modelling,,,https://doi.org/10.1101/2023.03.05.531080,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2512.00022v1,XFlowMP: Task-Conditioned Motion Fields for Generative Robot Planning with Schrodinger Bridges,2025,arXiv,http://arxiv.org/abs/2512.00022v1,Addresses energy-based transformer robot policies or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Energy transformer action selection keeps action-critical alternatives explicit until a physical observation collapses them.
